"","plot_richness","treeID","cell_x","cell_y","sp","focal","plotID_1","plotID_2"
"1",2,"t103320010707",7,7,"Nyssa sinensis",FALSE,"A","C32"
"2",2,"t103320010708",7,8,"Castanea henryi",FALSE,"A","C32"
"3",2,"t103320010709",7,9,"Castanea henryi",FALSE,"A","C32"
"4",2,"t103320010710",7,10,"Castanea henryi",FALSE,"A","C32"
"5",2,"t103320010711",7,11,"Castanea henryi",FALSE,"A","C32"
"6",2,"t103320010712",7,12,"Nyssa sinensis",FALSE,"A","C32"
"7",2,"t103320010807",8,7,"Nyssa sinensis",FALSE,"A","C32"
"8",2,"t103320010808",8,8,"Nyssa sinensis",TRUE,"A","C32"
"9",2,"t103320010809",8,9,"Castanea henryi",TRUE,"A","C32"
"10",2,"t103320010810",8,10,"Castanea henryi",TRUE,"A","C32"
"11",2,"t103320010811",8,11,"Castanea henryi",TRUE,"A","C32"
"12",2,"t103320010812",8,12,"Nyssa sinensis",FALSE,"A","C32"
"13",2,"t103320010907",9,7,"Castanea henryi",FALSE,"A","C32"
"14",2,"t103320010908",9,8,"Castanea henryi",TRUE,"A","C32"
"15",2,"t103320010909",9,9,"Nyssa sinensis",TRUE,"A","C32"
"16",2,"t103320010910",9,10,"Castanea henryi",TRUE,"A","C32"
"17",2,"t103320010911",9,11,"Castanea henryi",TRUE,"A","C32"
"18",2,"t103320010912",9,12,"Nyssa sinensis",FALSE,"A","C32"
"19",2,"t103320011007",10,7,"Nyssa sinensis",FALSE,"A","C32"
"20",2,"t103320011008",10,8,"Castanea henryi",TRUE,"A","C32"
"21",2,"t103320011009",10,9,"Nyssa sinensis",TRUE,"A","C32"
"22",2,"t103320011010",10,10,"Castanea henryi",TRUE,"A","C32"
"23",2,"t103320011011",10,11,"Castanea henryi",TRUE,"A","C32"
"24",2,"t103320011012",10,12,"Castanea henryi",FALSE,"A","C32"
"25",2,"t103320011107",11,7,"Castanea henryi",FALSE,"A","C32"
"26",2,"t103320011108",11,8,"Castanea henryi",TRUE,"A","C32"
"27",2,"t103320011109",11,9,"Nyssa sinensis",TRUE,"A","C32"
"28",2,"t103320011110",11,10,"Castanea henryi",TRUE,"A","C32"
"29",2,"t103320011111",11,11,"Castanea henryi",TRUE,"A","C32"
"30",2,"t103320011112",11,12,"Castanea henryi",FALSE,"A","C32"
"31",2,"t103320011207",12,7,"Castanea henryi",FALSE,"A","C32"
"32",2,"t103320011208",12,8,"Nyssa sinensis",FALSE,"A","C32"
"33",2,"t103320011209",12,9,"Castanea henryi",FALSE,"A","C32"
"34",2,"t103320011210",12,10,"Nyssa sinensis",FALSE,"A","C32"
"35",2,"t103320011211",12,11,"Castanea henryi",FALSE,"A","C32"
"36",2,"t103320011212",12,12,"Castanea henryi",FALSE,"A","C32"
"37",2,"t103330010707",7,7,"Nyssa sinensis",FALSE,"A","C33"
"38",2,"t103330010708",7,8,"Castanea henryi",FALSE,"A","C33"
"39",2,"t103330010709",7,9,"Nyssa sinensis",FALSE,"A","C33"
"40",2,"t103330010710",7,10,"Castanea henryi",FALSE,"A","C33"
"41",2,"t103330010711",7,11,"Nyssa sinensis",FALSE,"A","C33"
"42",2,"t103330010712",7,12,"Nyssa sinensis",FALSE,"A","C33"
"43",2,"t103330010807",8,7,"Nyssa sinensis",FALSE,"A","C33"
"44",2,"t103330010808",8,8,"Castanea henryi",TRUE,"A","C33"
"45",2,"t103330010809",8,9,"Nyssa sinensis",TRUE,"A","C33"
"46",2,"t103330010810",8,10,"Castanea henryi",TRUE,"A","C33"
"47",2,"t103330010811",8,11,"Nyssa sinensis",TRUE,"A","C33"
"48",2,"t103330010812",8,12,"Castanea henryi",FALSE,"A","C33"
"49",2,"t103330010907",9,7,"Castanea henryi",FALSE,"A","C33"
"50",2,"t103330010908",9,8,"Castanea henryi",TRUE,"A","C33"
"51",2,"t103330010909",9,9,"Nyssa sinensis",TRUE,"A","C33"
"52",2,"t103330010910",9,10,"Castanea henryi",TRUE,"A","C33"
"53",2,"t103330010911",9,11,"Nyssa sinensis",TRUE,"A","C33"
"54",2,"t103330010912",9,12,"Castanea henryi",FALSE,"A","C33"
"55",2,"t103330011007",10,7,"Castanea henryi",FALSE,"A","C33"
"56",2,"t103330011008",10,8,"Nyssa sinensis",TRUE,"A","C33"
"57",2,"t103330011009",10,9,"Castanea henryi",TRUE,"A","C33"
"58",2,"t103330011010",10,10,"Castanea henryi",TRUE,"A","C33"
"59",2,"t103330011011",10,11,"Castanea henryi",TRUE,"A","C33"
"60",2,"t103330011012",10,12,"Nyssa sinensis",FALSE,"A","C33"
"61",2,"t103330011107",11,7,"Castanea henryi",FALSE,"A","C33"
"62",2,"t103330011108",11,8,"Nyssa sinensis",TRUE,"A","C33"
"63",2,"t103330011109",11,9,"Castanea henryi",TRUE,"A","C33"
"64",2,"t103330011110",11,10,"Castanea henryi",TRUE,"A","C33"
"65",2,"t103330011111",11,11,"Nyssa sinensis",TRUE,"A","C33"
"66",2,"t103330011112",11,12,"Castanea henryi",FALSE,"A","C33"
