"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"gamma[1,1]",0.297496414174684,0.000895767222682966,0.102116031057975,0.105695883273401,0.225150490747066,0.295485021083557,0.367000999477228,0.501870978978494,12995.6354315509,0.999966061471468
"gamma[1,2]",0.0015994673355463,0.00510706250199458,0.999432537987067,-1.98141933460985,-0.671316685924018,-0.00164608734190386,0.670755526881168,1.96614998722192,38296.9883773518,0.999888314731041
"gamma[1,3]",-0.000474395147799686,0.00525482906404562,1.00707692440805,-1.9807043623057,-0.676578090048079,-0.00479613142810039,0.677797009057167,1.95091658734549,36728.9153442008,1.00006940478649
"gamma[1,4]",-0.409220890501048,0.00336401947974357,0.429412446264491,-1.29631386134125,-0.686857257278283,-0.398016287329642,-0.119362243433464,0.395962952604608,16294.1703413632,1.0000221892182
"gamma[1,5]",-0.458577018124369,0.00274391408561681,0.329444110506265,-1.09587558008329,-0.685661650622777,-0.460012095605288,-0.235909345755731,0.194350795869536,14415.2599322234,0.999965784765282
"gamma[1,6]",-0.0075359254519355,0.00517798507369426,1.004656050536,-1.96602738421803,-0.686564731252788,-0.00886845480022073,0.666481091880004,1.97207563178492,37645.5130156679,0.99987444500378
"gamma[1,7]",0.259084619171454,0.00179475417646761,0.231294670475296,-0.184935609250496,0.101373409742108,0.25507035037684,0.414022954015126,0.720138594961404,16608.1518263474,1.00001597066168
"gamma[1,8]",1.70048498101736,0.0030340201651823,0.29701135311628,1.15495047848399,1.50266531718839,1.69405125812032,1.88424171078126,2.2865524072208,9583.16961245857,0.999975231299927
"gamma[2,1]",-0.0119547702456182,0.00531116488390006,0.995982645218081,-1.9461580240862,-0.686748070613158,-0.0134715668950933,0.659680505147154,1.95530003217402,35166.0811215203,0.999878782658845
"gamma[2,2]",-0.0675263985898594,4.53936250751164e-05,0.00737894608224634,-0.083290026770302,-0.0722214476550186,-0.0669545292398357,-0.0623771272463904,-0.0545284640540762,26424.0231599751,0.999893244003251
"gamma[2,3]",0.138934246028479,7.33600085378878e-05,0.00789639810441379,0.121312559828433,0.134167487553228,0.139573121301231,0.144509755532606,0.152532406182678,11586.1547476944,1.00046919476315
