"X","plot_richness","treeID","cell_x","cell_y","sp","focal","biomass_1","biomass_2","biomass_3","biomass_4","biomass_5","biomass_6","biomass_7","alive_1","alive_2","alive_3","alive_4","alive_5","alive_6","alive_7","measured_1","measured_2","measured_3","measured_4","measured_5","measured_6","measured_7","neigh1_treeID","neigh2_treeID","neigh3_treeID","neigh4_treeID","neigh5_treeID","neigh6_treeID","neigh7_treeID","neigh8_treeID","neigh1_dist","neigh2_dist","neigh3_dist","neigh4_dist","neigh5_dist","neigh6_dist","neigh7_dist","neigh8_dist","ID","plotID_1","plotID_2","bm_1","bm_2","bm_3","bm_4","bm_5","bm_6","bm_7","gr_7","gr_std"
513,2,"t103320010809",8,9,"Castanea henryi",TRUE,488.291463,2854.627014,7410.967982,21918.82503,32804.6345,52994.9547,74111.02188,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"t103320010708","t103320010709","t103320010710","t103320010808","t103320010810","t103320010908","t103320010909","t103320010910",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,513,"A","C32",1,1,1,1,1,1,1,21116.06718,5.36123162075793
514,2,"t103320010810",8,10,"Castanea henryi",TRUE,394.3892585,1430.990545,7287.0027,12794.76224,21541.66275,26197.80535,28607.609,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"t103320010709","t103320010710","t103320010711","t103320010809","t103320010811","t103320010909","t103320010910","t103320010911",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,514,"A","C32",1,1,1,1,1,1,1,2409.80365,0.276942182743379
518,2,"t103320010908",9,8,"Castanea henryi",TRUE,674.5627746,3102.461761,9465.342205,17606.66333,22351.9226,34054.88965,48713.64898,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"t103320010807","t103320010808","t103320010809","t103320010907","t103320010909","t103320011007","t103320011008","t103320011009",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,518,"A","C32",1,1,1,1,1,1,1,14658.75933,3.6061605427144
519,2,"t103320010909",9,9,"Nyssa sinensis",TRUE,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"t103320010808","t103320010809","t103320010810","t103320010908","t103320010910","t103320011008","t103320011009","t103320011010",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,519,"A","C32",0,0,0,0,0,0,0,0,-0.378033046582063
520,2,"t103320010910",9,10,"Castanea henryi",TRUE,49.04713356,284.4613973,1456.442354,2708.36954,5159.351221,5939.796517,6155.771587,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"t103320010809","t103320010810","t103320010811","t103320010909","t103320010911","t103320011009","t103320011010","t103320011011",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,520,"A","C32",1,1,1,1,1,1,1,215.97507,-0.319331865263067
521,2,"t103320010911",9,11,"Castanea henryi",TRUE,115.8781948,291.480108,1149.822911,4148.126287,9200.434984,13079.06673,15464.1959,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"t103320010810","t103320010811","t103320010812","t103320010910","t103320010912","t103320011010","t103320011011","t103320011012",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,521,"A","C32",1,1,1,1,1,1,1,2385.12917,0.270235755356033
524,2,"t103320011008",10,8,"Castanea henryi",TRUE,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"t103320010907","t103320010908","t103320010909","t103320011007","t103320011009","t103320011107","t103320011108","t103320011109",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,524,"A","C32",0,0,0,0,0,0,0,0,-0.378033046582063
525,2,"t103320011009",10,9,"Nyssa sinensis",TRUE,264.004524,1615.029951,4653.925905,8409.691675,10542.65426,11611.79898,12664.21861,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"t103320010908","t103320010909","t103320010910","t103320011008","t103320011010","t103320011108","t103320011109","t103320011110",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,525,"A","C32",1,1,1,1,1,1,1,1052.41963,-0.0919894975543875
526,2,"t103320011010",10,10,"Castanea henryi",TRUE,269.4897448,1168.986626,5538.313689,10390.06153,17466.0346,19793.26719,26207.30038,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"t103320010909","t103320010910","t103320010911","t103320011009","t103320011011","t103320011109","t103320011110","t103320011111",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,526,"A","C32",1,1,1,1,1,1,1,6414.03319,1.36527614772563
527,2,"t103320011011",10,11,"Castanea henryi",TRUE,118.3814551,391.1697544,1550.224785,3953.608589,8098.436321,15766.88678,20427.16396,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"t103320010910","t103320010911","t103320010912","t103320011010","t103320011012","t103320011110","t103320011111","t103320011112",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,527,"A","C32",1,1,1,1,1,1,1,4660.27718,0.8886121071385
530,2,"t103320011108",11,8,"Castanea henryi",TRUE,320.3933633,1799.137491,4656.78279,12247.81124,18766.12679,20407.59601,30080.8789,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"t103320011007","t103320011008","t103320011009","t103320011107","t103320011109","t103320011207","t103320011208","t103320011209",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,530,"A","C32",1,1,1,1,1,1,1,9673.28289,2.25112749901161
531,2,"t103320011109",11,9,"Nyssa sinensis",TRUE,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"t103320011008","t103320011009","t103320011010","t103320011108","t103320011110","t103320011208","t103320011209","t103320011210",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,531,"A","C32",0,0,0,0,0,0,0,0,-0.378033046582063
532,2,"t103320011110",11,10,"Castanea henryi",TRUE,276.2449544,787.0537827,2207.65999,5222.30163,10220.08596,13928.73915,20187.98283,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"t103320011009","t103320011010","t103320011011","t103320011109","t103320011111","t103320011209","t103320011210","t103320011211",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,532,"A","C32",1,1,1,1,1,1,1,6259.24368,1.32320496287644
533,2,"t103320011111",11,11,"Castanea henryi",TRUE,60.36570284,642.6432115,646.7753876,0,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"t103320011010","t103320011011","t103320011012","t103320011110","t103320011112","t103320011210","t103320011211","t103320011212",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,533,"A","C32",1,1,1,0,0,0,0,0,-0.378033046582063
548,2,"t103330010808",8,8,"Castanea henryi",TRUE,5.346676537,138.3620236,1149.822911,2519.194925,7554.259872,12573.02847,15143.82649,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"t103330010707","t103330010708","t103330010709","t103330010807","t103330010809","t103330010907","t103330010908","t103330010909",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,548,"A","C33",1,1,1,1,1,1,1,2570.79802,0.32069982433001
549,2,"t103330010809",8,9,"Nyssa sinensis",TRUE,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"t103330010708","t103330010709","t103330010710","t103330010808","t103330010810","t103330010908","t103330010909","t103330010910",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,549,"A","C33",0,0,0,0,0,0,0,0,-0.378033046582063
550,2,"t103330010810",8,10,"Castanea henryi",TRUE,220.2294149,531.8505876,3623.139903,6587.647468,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"t103330010709","t103330010710","t103330010711","t103330010809","t103330010811","t103330010909","t103330010910","t103330010911",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,550,"A","C33",1,1,1,1,0,0,0,0,-0.378033046582063
551,2,"t103330010811",8,11,"Nyssa sinensis",TRUE,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"t103330010710","t103330010711","t103330010712","t103330010810","t103330010812","t103330010910","t103330010911","t103330010912",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,551,"A","C33",0,0,0,0,0,0,0,0,-0.378033046582063
555,2,"t103330010909",9,9,"Nyssa sinensis",TRUE,30.64230934,124.9725558,654.303429,1368.093494,2055.679878,2992.832351,3443.983277,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"t103330010808","t103330010809","t103330010810","t103330010908","t103330010910","t103330011008","t103330011009","t103330011010",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,555,"A","C33",1,1,1,1,1,1,1,451.150926,-0.255411985228274
557,2,"t103330010911",9,11,"Nyssa sinensis",TRUE,270.7738708,1513.513783,4416.097523,6980.117792,10202.75945,12703.0317,15339.78039,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"t103330010810","t103330010811","t103330010812","t103330010910","t103330010912","t103330011010","t103330011011","t103330011012",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,557,"A","C33",1,1,1,1,1,1,1,2636.74869,0.33862495910496
560,2,"t103330011008",10,8,"Nyssa sinensis",TRUE,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"t103330010907","t103330010908","t103330010909","t103330011007","t103330011009","t103330011107","t103330011108","t103330011109",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,560,"A","C33",0,0,0,0,0,0,0,0,-0.378033046582063
561,2,"t103330011009",10,9,"Castanea henryi",TRUE,76.65486075,317.6769067,1988.834317,4353.073238,8495.777391,10124.86446,13818.99035,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"t103330010908","t103330010909","t103330010910","t103330011008","t103330011010","t103330011108","t103330011109","t103330011110",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,561,"A","C33",1,1,1,1,1,1,1,3694.12589,0.626015956314834
562,2,"t103330011010",10,10,"Castanea henryi",TRUE,153.3097215,385.4014761,1173.777555,3449.468734,7115.531765,10985.94468,12480.65937,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"t103330010909","t103330010910","t103330010911","t103330011009","t103330011011","t103330011109","t103330011110","t103330011111",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,562,"A","C33",1,1,1,1,1,1,1,1494.71469,0.0282245739750541
563,2,"t103330011011",10,11,"Castanea henryi",TRUE,22.75691178,150.4351642,1341.460063,3639.275751,8191.194692,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"t103330010910","t103330010911","t103330010912","t103330011010","t103330011012","t103330011110","t103330011111","t103330011112",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,563,"A","C33",1,1,1,1,1,0,0,0,-0.378033046582063
566,2,"t103330011108",11,8,"Nyssa sinensis",TRUE,107.348221,583.9062281,806.4895598,1452.004855,2531.110829,2912.934532,3562.682171,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"t103330011007","t103330011008","t103330011009","t103330011107","t103330011109","t103330011207","t103330011208","t103330011209",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,566,"A","C33",1,1,1,1,1,1,1,649.747639,-0.201434173533759
567,2,"t103330011109",11,9,"Castanea henryi",TRUE,7.761304651,158.1006503,438.3196801,0,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"t103330011008","t103330011009","t103330011010","t103330011108","t103330011110","t103330011208","t103330011209","t103330011210",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,567,"A","C33",1,1,1,0,0,0,0,0,-0.378033046582063
568,2,"t103330011110",11,10,"Castanea henryi",TRUE,6.745627746,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"t103330011009","t103330011010","t103330011011","t103330011109","t103330011111","t103330011209","t103330011210","t103330011211",1.825749709,1.291,1.825749709,1.291,1.291,1.825749709,1.291,1.825749709,568,"A","C33",1,0,0,0,0,0,0,0,-0.378033046582063
